cik,fiscal_year,n_ai,n_deployment,n_intent,n_boilerplate,n_governance,share_deployment,share_intent,share_boilerplate
91419,2024,3,0,0,3,0,0.0,0.0,1.0
91419,2025,7,0,0,6,0,0.0,0.0,0.8571428571428571
91440,2023,1,0,0,1,0,0.0,0.0,1.0
91440,2024,1,0,0,1,0,0.0,0.0,1.0
91440,2025,3,2,0,1,0,0.6666666666666666,0.0,0.3333333333333333
91576,2022,1,0,0,1,0,0.0,0.0,1.0
91576,2023,2,0,0,2,0,0.0,0.0,1.0
91576,2024,3,1,0,2,0,0.3333333333333333,0.0,0.6666666666666666
91576,2025,2,0,0,2,0,0.0,0.0,1.0
92122,2024,2,0,0,1,0,0.0,0.0,0.5
92122,2025,2,0,0,2,0,0.0,0.0,1.0
92230,2023,3,1,0,2,0,0.3333333333333333,0.0,0.6666666666666666
92230,2024,2,0,0,1,0,0.0,0.0,0.5
92230,2025,4,0,0,3,0,0.0,0.0,0.75
92380,2023,1,0,0,0,0,0.0,0.0,0.0
92380,2024,1,0,1,0,0,0.0,1.0,0.0
92380,2025,1,1,0,0,0,1.0,0.0,0.0
93410,2023,3,3,0,0,0,1.0,0.0,0.0
93410,2024,1,0,0,0,1,0.0,0.0,0.0
93410,2025,5,0,0,3,1,0.0,0.0,0.6
93556,2018,1,0,1,0,0,0.0,1.0,0.0
93556,2019,2,0,1,1,0,0.0,0.5,0.5
93556,2020,6,0,2,2,0,0.0,0.3333333333333333,0.3333333333333333
93556,2021,4,0,2,1,0,0.0,0.5,0.25
93556,2023,1,0,0,0,1,0.0,0.0,0.0
93556,2024,3,0,0,2,1,0.0,0.0,0.6666666666666666
93556,2025,8,0,0,6,2,0.0,0.0,0.75
93751,2020,3,0,0,0,3,0.0,0.0,0.0
93751,2021,6,1,0,2,3,0.16666666666666666,0.0,0.3333333333333333
93751,2022,6,1,0,2,3,0.16666666666666666,0.0,0.3333333333333333
93751,2023,21,1,0,17,3,0.047619047619047616,0.0,0.8095238095238095
93751,2024,22,1,1,19,1,0.045454545454545456,0.045454545454545456,0.8636363636363636
93751,2025,34,1,0,30,3,0.029411764705882353,0.0,0.8823529411764706
96021,2023,1,0,0,1,0,0.0,0.0,1.0
96021,2024,8,1,0,7,0,0.125,0.0,0.875
96021,2025,8,1,0,7,0,0.125,0.0,0.875
97210,2021,2,0,0,0,0,0.0,0.0,0.0
97210,2022,2,0,0,0,0,0.0,0.0,0.0
97210,2023,2,0,0,1,0,0.0,0.0,0.5
97210,2024,2,0,0,1,0,0.0,0.0,0.5
97210,2025,12,6,0,2,0,0.5,0.0,0.16666666666666666
97476,2024,1,0,0,1,0,0.0,0.0,1.0
97476,2025,1,0,0,1,0,0.0,0.0,1.0
97745,2023,1,0,0,1,0,0.0,0.0,1.0
97745,2024,5,0,0,5,0,0.0,0.0,1.0
97745,2025,6,1,0,4,1,0.16666666666666666,0.0,0.6666666666666666
100493,2021,2,0,2,0,0,0.0,1.0,0.0
100493,2022,2,2,0,0,0,1.0,0.0,0.0
100493,2023,1,1,0,0,0,1.0,0.0,0.0
100493,2024,1,0,0,1,0,0.0,0.0,1.0
100493,2025,1,0,0,1,0,0.0,0.0,1.0
100517,2023,1,0,0,1,0,0.0,0.0,1.0
100517,2024,1,0,0,1,0,0.0,0.0,1.0
100517,2025,1,0,0,1,0,0.0,0.0,1.0
100885,2024,2,0,0,2,0,0.0,0.0,1.0
100885,2025,2,0,0,2,0,0.0,0.0,1.0
101829,2022,2,2,0,0,0,1.0,0.0,0.0
101829,2023,6,0,2,4,0,0.0,0.3333333333333333,0.6666666666666666
101829,2024,7,1,0,6,0,0.14285714285714285,0.0,0.8571428571428571
101829,2025,8,1,0,7,0,0.125,0.0,0.875
104169,2023,2,0,0,2,0,0.0,0.0,1.0
104169,2024,3,0,1,2,0,0.0,0.3333333333333333,0.6666666666666666
104169,2025,2,0,2,0,0,0.0,1.0,0.0
105634,2023,3,0,0,2,0,0.0,0.0,0.6666666666666666
105634,2024,4,0,0,2,0,0.0,0.0,0.5
105634,2025,3,0,0,2,0,0.0,0.0,0.6666666666666666
106040,2023,1,0,0,0,0,0.0,0.0,0.0
106040,2024,1,0,0,0,0,0.0,0.0,0.0
106040,2025,1,0,0,1,0,0.0,0.0,1.0
106535,2021,1,1,0,0,0,1.0,0.0,0.0
106535,2022,1,1,0,0,0,1.0,0.0,0.0
106535,2023,2,1,0,1,0,0.5,0.0,0.5
106535,2024,2,1,0,1,0,0.5,0.0,0.5
106535,2025,6,1,0,4,0,0.16666666666666666,0.0,0.6666666666666666
107263,2024,1,0,0,1,0,0.0,0.0,1.0
107263,2025,2,0,0,1,0,0.0,0.0,0.5
109198,2024,5,0,0,5,0,0.0,0.0,1.0
109198,2025,4,0,0,4,0,0.0,0.0,1.0
200406,2023,2,0,0,1,1,0.0,0.0,0.5
200406,2024,2,0,0,1,1,0.0,0.0,0.5
200406,2025,2,0,0,1,1,0.0,0.0,0.5
202058,2024,6,1,0,2,0,0.16666666666666666,0.0,0.3333333333333333
202058,2025,2,0,0,2,0,0.0,0.0,1.0
217346,2024,1,0,0,1,0,0.0,0.0,1.0
217346,2025,2,0,0,2,0,0.0,0.0,1.0
277135,2023,1,0,1,0,0,0.0,1.0,0.0
277135,2024,2,0,1,1,0,0.0,0.5,0.5
277135,2025,4,0,2,2,0,0.0,0.5,0.5
277948,2023,1,0,0,1,0,0.0,0.0,1.0
277948,2024,1,0,0,1,0,0.0,0.0,1.0
277948,2025,2,0,0,2,0,0.0,0.0,1.0
310158,2023,1,0,0,1,0,0.0,0.0,1.0
